,name,dataset,model,pooling,N,max_length,layer,anisotropy,inference_time,cased,no_stop
8,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP_no_CLS,1000,32,8,0.6167990007400512,0.06374507308006287,False,False
9,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP_no_CLS,1000,32,9,0.540966462135315,0.06374507308006287,False,False
10,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP_no_CLS,1000,32,10,0.4746816935166717,0.06374507308006287,False,False
11,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP_no_CLS,1000,32,11,0.5213992530629039,0.06374507308006287,False,False
12,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP_no_CLS,1000,32,12,0.5117775800824166,0.06374507308006287,False,False
0,wiki1m_for_simcse_shuf|bert-base-uncased|CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,CLS,1000,32,0,0.2646034003123641,0.05807720589637756,False,False
1,wiki1m_for_simcse_shuf|bert-base-uncased|CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,CLS,1000,32,1,0.3006764862090349,0.05807720589637756,False,False
2,wiki1m_for_simcse_shuf|bert-base-uncased|CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,CLS,1000,32,2,0.32997991704940793,0.05807720589637756,False,False
3,wiki1m_for_simcse_shuf|bert-base-uncased|CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,CLS,1000,32,3,0.3304583534300327,0.05807720589637756,False,False
4,wiki1m_for_simcse_shuf|bert-base-uncased|CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,CLS,1000,32,4,0.362601410523057,0.05807720589637756,False,False
5,wiki1m_for_simcse_shuf|bert-base-uncased|CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,CLS,1000,32,5,0.391013638779521,0.05807720589637756,False,False
6,wiki1m_for_simcse_shuf|bert-base-uncased|CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,CLS,1000,32,6,0.38083826135098936,0.05807720589637756,False,False
7,wiki1m_for_simcse_shuf|bert-base-uncased|CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,CLS,1000,32,7,0.36691267814487216,0.05807720589637756,False,False
8,wiki1m_for_simcse_shuf|bert-base-uncased|CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,CLS,1000,32,8,0.3425299508869648,0.05807720589637756,False,False
9,wiki1m_for_simcse_shuf|bert-base-uncased|CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,CLS,1000,32,9,0.290807687561959,0.05807720589637756,False,False
10,wiki1m_for_simcse_shuf|bert-base-uncased|CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,CLS,1000,32,10,0.27160011300444603,0.05807720589637756,False,False
11,wiki1m_for_simcse_shuf|bert-base-uncased|CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,CLS,1000,32,11,0.32004284649342296,0.05807720589637756,False,False
12,wiki1m_for_simcse_shuf|bert-base-uncased|CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,CLS,1000,32,12,0.3684101746305824,0.05807720589637756,False,False
0,wiki1m_for_simcse_shuf|bert-base-cased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-cased,none,1000,32,0,0.0804814140284434,0.06620751047134399,False,False
1,wiki1m_for_simcse_shuf|bert-base-cased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-cased,none,1000,32,1,0.17030935520306228,0.06620751047134399,False,False
2,wiki1m_for_simcse_shuf|bert-base-cased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-cased,none,1000,32,2,0.22833229625597595,0.06620751047134399,False,False
3,wiki1m_for_simcse_shuf|bert-base-cased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-cased,none,1000,32,3,0.24775744357705115,0.06620751047134399,False,False
4,wiki1m_for_simcse_shuf|bert-base-cased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-cased,none,1000,32,4,0.29028518925607205,0.06620751047134399,False,False
5,wiki1m_for_simcse_shuf|bert-base-cased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-cased,none,1000,32,5,0.3553142417669296,0.06620751047134399,False,False
6,wiki1m_for_simcse_shuf|bert-base-cased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-cased,none,1000,32,6,0.3831491432189941,0.06620751047134399,False,False
7,wiki1m_for_simcse_shuf|bert-base-cased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-cased,none,1000,32,7,0.3559828926101327,0.06620751047134399,False,False
8,wiki1m_for_simcse_shuf|bert-base-cased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-cased,none,1000,32,8,0.3601117131859064,0.06620751047134399,False,False
9,wiki1m_for_simcse_shuf|bert-base-cased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-cased,none,1000,32,9,0.4141222597286105,0.06620751047134399,False,False
10,wiki1m_for_simcse_shuf|bert-base-cased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-cased,none,1000,32,10,0.4698475427255034,0.06620751047134399,False,False
11,wiki1m_for_simcse_shuf|bert-base-cased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-cased,none,1000,32,11,0.5778896132651716,0.06620751047134399,False,False
12,wiki1m_for_simcse_shuf|bert-base-cased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-cased,none,1000,32,12,0.3934326367545873,0.06620751047134399,False,False
0,wiki1m_for_simcse_shuf|bert-base-cased|none_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-cased,none_no_SEP,1000,32,0,0.08445497388733203,0.06767259931564333,False,False
1,wiki1m_for_simcse_shuf|bert-base-cased|none_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-cased,none_no_SEP,1000,32,1,0.17901658119633793,0.06767259931564333,False,False
2,wiki1m_for_simcse_shuf|bert-base-cased|none_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-cased,none_no_SEP,1000,32,2,0.2357796540372073,0.06767259931564333,False,False
3,wiki1m_for_simcse_shuf|bert-base-cased|none_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-cased,none_no_SEP,1000,32,3,0.2403125195726752,0.06767259931564333,False,False
4,wiki1m_for_simcse_shuf|bert-base-cased|none_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-cased,none_no_SEP,1000,32,4,0.29760656055808066,0.06767259931564333,False,False
5,wiki1m_for_simcse_shuf|bert-base-cased|none_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-cased,none_no_SEP,1000,32,5,0.35260111604630945,0.06767259931564333,False,False
